star_id,tmass_id,tmass_distance,tmass_angle,ra,dec,start_time,end_time,jmag,hmag,kmag,lcfilter,npts
XO-DR1_1112,2MASS J16020703+2900349,4.459356,71.599548,240.528,29.0093,2453080.14,2453566.05,8.981,8.14,7.98,W (XO),3134
XO-DR1_1113,2MASS J15450053+2836577,6.984766,-76.375961,236.2544,28.6156,2453080.14,2453566.05,9.918,9.357,9.257,W (XO),2588
XO-DR1_1114,2MASS J16152938+3015020,15.545259,-83.04216,243.8774,30.25,2453080.14,2453566.05,10.101,9.617,9.587,W (XO),2389
XO-DR1_1115,2MASS J16012835+2917080,1.718643,-146.261993,240.3684,29.286,2453080.14,2453566.05,10.58,10.252,10.147,W (XO),3073
XO-DR1_1117,2MASS J16034973+3044388,2.462757,6.275044,240.9572,30.7434,2453080.14,2453566.05,9.669,8.987,8.821,W (XO),3011
XO-DR1_1118,2MASS J15594779+3103514,1.828445,85.369652,239.9486,31.0643,2453080.14,2453566.05,9.749,9.125,8.996,W (XO),3098
XO-DR1_1119,2MASS J16081639+2850345,5.892268,-48.990334,242.0697,28.8419,2453080.14,2453566.05,11.284,11.207,11.155,W (XO),2194
XO-DR1_111,2MASS J16074598+2910419,1.832321,122.436745,241.9411,29.1786,2453080.14,2453566.05,8.535,8.322,8.284,W (XO),3430
XO-DR1_1121,2MASS J15500180+3414219,14.066212,-56.209545,237.5114,34.2373,2453080.14,2453565.05,9.775,9.233,9.074,W (XO),1946
XO-DR1_1122,2MASS J15495070+3057597,2.017387,127.998917,237.4607,30.9669,2453080.14,2453566.05,10.606,10.314,10.257,W (XO),3075
XO-DR1_1123,2MASS J15584985+3212513,1.696107,119.220734,239.7072,32.2145,2453080.14,2453566.05,10.521,10.225,10.18,W (XO),3078
XO-DR1_1125,2MASS J15453474+3033039,13.944554,62.841595,236.3908,30.5493,2453080.14,2453566.05,9.948,9.377,9.225,W (XO),2984
XO-DR1_1126,2MASS J15594120+2740564,6.49163,157.172623,239.9209,27.684,2453080.14,2453566.05,10.039,9.519,9.436,W (XO),3060
XO-DR1_1127,2MASS J16041223+2728549,12.108027,135.186615,241.0483,27.4843,2453080.14,2453564.92,10.443,10.139,10.058,W (XO),2020
XO-DR1_1128,2MASS J15540498+2854595,2.076488,-37.923378,238.5212,28.9161,2453080.14,2453566.05,10,9.451,9.382,W (XO),3041
XO-DR1_1129,2MASS J15551667+3046288,2.69493,88.545395,238.8186,30.7747,2453080.14,2453566.05,9.866,9.378,9.194,W (XO),3098
XO-DR1_112,2MASS J16042236+2753497,9.315722,120.876427,241.0907,27.8985,2453080.14,2453566.05,6.22,5.414,5.15,W (XO),3422
XO-DR1_1130,2MASS J16142177+2729471,19.672075,-142.771225,243.5945,27.5008,2453080.14,2453566.04,13.755,13.312,13.212,W (XO),2441
XO-DR1_1131,2MASS J16061363+2901553,5.815974,101.749809,241.555,29.0324,2453080.14,2453566.05,8.473,7.8,7.601,W (XO),3062
XO-DR1_1132,,,,237.6311,28.6389,2453080.14,2453566.05,,,,W (XO),2236
XO-DR1_1133,2MASS J15573836+3300076,2.760569,124.560173,239.4091,33.0026,2453080.14,2453566.05,10.038,9.536,9.392,W (XO),3058
XO-DR1_1135,2MASS J16015145+3408034,11.640226,23.905907,240.4628,34.1313,2453080.14,2453566.05,9.583,8.968,8.773,W (XO),3042
XO-DR1_1136,2MASS J15502977+3034509,0.942113,94.602539,237.6238,30.5808,2453080.14,2453566.05,10.804,10.561,10.478,W (XO),3052
XO-DR1_1137,2MASS J16145421+3300436,6.324567,-38.807964,243.7272,33.0108,2453080.14,2453566.05,10.415,10.079,10.003,W (XO),3051
XO-DR1_1138,2MASS J15465677+2755125,15.059935,-99.312233,236.7412,27.9208,2453080.14,2453566.05,10.522,10.274,10.099,W (XO),2666
XO-DR1_1139,2MASS J15575864+3016085,2.134949,21.440853,239.4941,30.2685,2453080.14,2453566.05,10.301,9.891,9.816,W (XO),3040
XO-DR1_113,2MASS J16090112+2927430,4.983998,-49.940449,242.2559,29.4611,2453080.14,2453566.05,8.035,7.598,7.51,W (XO),3413
XO-DR1_1140,2MASS J16123320+2759561,6.713293,147.97406,243.1372,28.0005,2453080.14,2453566.05,10.562,10.332,10.265,W (XO),2989
XO-DR1_1142,2MASS J16003544+3344409,6.78045,17.629438,240.147,33.7429,2453080.14,2453566.05,10.683,10.405,10.385,W (XO),3069
XO-DR1_1143,2MASS J16075682+3150112,0.581184,-11.843361,241.9868,31.8363,2453080.14,2453566.05,10.621,10.381,10.305,W (XO),3043
XO-DR1_1145,2MASS J15495529+3111282,0.85125,-17.909157,237.4805,31.191,2453080.14,2453566.05,10.886,10.588,10.555,W (XO),2784
XO-DR1_1146,2MASS J15535638+3241126,2.293331,-126.173332,238.4855,32.6872,2453080.14,2453566.05,10.724,10.456,10.385,W (XO),3037
XO-DR1_114,2MASS J16095714+3010550,2.410004,-62.511013,242.4888,30.1817,2453080.14,2453566.05,8.427,8.217,8.176,W (XO),3433
XO-DR1_1150,2MASS J15502126+2904254,2.465276,-44.789623,237.5892,29.0733,2453080.14,2453565.05,9.401,8.644,8.492,W (XO),2084
XO-DR1_1151,2MASS J16083146+3126502,1.285736,-77.056015,242.1315,31.4472,2453080.14,2453566.05,10.025,9.548,9.433,W (XO),3017
XO-DR1_1153,2MASS J16010793+2831308,2.434877,78.745522,240.2823,28.5251,2453080.14,2453566.05,10.107,9.58,9.48,W (XO),3017
XO-DR1_1155,2MASS J16081232+3100016,1.379557,-36.511681,242.0516,31.0002,2453080.14,2453566.05,9.97,9.45,9.303,W (XO),2754
XO-DR1_1156,,,,238.1216,31.0467,2453080.14,2453566.04,,,,W (XO),1750
XO-DR1_1157,2MASS J15561519+2922075,3.211133,2.687977,239.0633,29.3679,2453080.14,2453566.05,10.026,9.484,9.367,W (XO),3029
